uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD
soap,soap,personal hygiene item,192.5714286,0.8130962365,0.9242845829230769,5.4103,1.3711,5.7436,1.1634,3.864864865,1.718561449,6.4872,0.7208,5.5897,1.3122,3.5897,1.6498
toilet_paper,toilet paper,personal hygiene item,216.75,0.8163409984,0.8319374253809523,6.7568,0.5479999999999999,4.9189,1.2991,3.704545455,1.456014718,6.4595,1.2382,6.7297,0.5082,2.7027,1.7774
toothbrush,toothbrush,personal hygiene item,199.9659091,0.8097310624166667,0.866980895,6.7368,0.4463,4.8947,1.1099,3.653846154,1.51960541,6.7368,0.8601,6.7368,0.4463,1.8684,0.9056
toothpaste,toothpaste,personal hygiene item,198.7804878,0.8841353107857143,0.7998740054,5.8947,1.4666,5.1579,1.4431,3.930232558,1.791452574,6.5789,0.8893,5.7105,1.7539,2.3684,1.2395
toothpick,toothpick,personal hygiene item,145.4651163,0.8322919154666667,0.726053786875,6.5789,0.7581,4.1842,1.0096,3.822222222,1.641630133,6.4211,1.1539,6.4737,0.8617,4.6579,1.7748
bamboo,bamboo,plant,278.10606060000003,0.773110741625,0.9151271443529412,5.775,1.1655,5.3,1.1591,3.466666667,1.6039723419999998,1.35,1.231,5.8,1.1591,6.9,0.3038
grass,grass,plant,142.9428571,0.7720608757999999,0.95357799375,5.9167,1.079,5.5833,1.2277,2.956521739,1.763286348,1.4444,0.8765,5.8889,1.3262,6.8056,0.4672
kneepad,kneepad,protective clothing; safety equipment; sports equipment,219.3222222,0.8566659596875,0.824445093117647,6.5405,0.5052,4.3514,0.9194,4.25,1.511583184,6.4054,1.3429,6.4865,0.5588,1.7027,0.968
book,book,school supply,229.1704545,0.7579507691538462,0.9208158262857143,6.5385,0.7555,5.9744,1.0634,3.266666667,1.6975918769999998,6.8718,0.3387,6.5128,0.7564,2.4359,1.818
calculator,calculator,school supply; scientific equipment,211.0212766,0.8074446468571429,0.9638090954,6.5526,0.7952,4.8158,0.9545,3.954545455,1.52429237,6.8947,0.311,6.5263,0.7965,1.4211,0.7581
magnet,magnet,scientific equipment,162.3055556,0.8420985491666667,0.786383143,6.1579,0.8551,4.2368,0.7509999999999999,4.0,1.237705496,6.0,1.1855,6.0263,1.0777,4.0526,1.7698
microscope,microscope,scientific equipment,246.2702703,0.8026879044285715,0.9497370059333333,5.1351,1.3977,4.7027,1.0237,4.078431373,1.507887758,6.6757,1.0815,5.3243,1.156,1.5405,0.8365
scale,scale,scientific equipment,261.1477273,0.8024529943333333,0.852813206,5.1351,1.0045,4.2973,1.1753,4.098039216,1.25307465,6.7568,0.4947,5.2703,1.071,1.5946,1.1657
tape_measure,tape measure,scientific equipment; tool,204.1071429,0.8152644392857143,0.8605734344666666,6.5789,0.6423,4.8158,1.036,4.044444444,1.521894088,6.8421,0.4366,6.3158,0.8089,1.4211,0.7929
ball,ball,sports equipment; toy,208.8170732,0.7860352150625,0.8657466908235294,6.5,0.5575,5.5789,0.9192,3.5,1.6758611630000002,6.7105,1.011,6.0526,1.2509,1.4211,0.7929
bat2,bat,sports equipment; weapon,258.9347826,0.7302228323333334,0.8631886818125,6.5676,0.6472,4.4865,1.0171,4.16,1.776949921,6.7027,0.9087,6.4054,1.1416,2.3784,1.4014
bowling_ball,bowling ball,sports equipment,241.8913043,0.8316375781666667,0.7403670503684211,5.3889,1.2019,4.7778,1.0173,4.088888889,1.427366014,6.6944,0.7491,5.4722,1.2532,1.6667,0.9258
skateboard,skateboard,sports equipment; toy; vehicle,262.7659574,0.7950129670714287,0.9320521798666667,6.2051,0.9509,5.2051,1.0558,4.428571429,1.6329931619999998,6.641,1.0879,5.8718,1.3799,1.8205,1.1441
broom,broom,tool,269.8043478,0.80968804175,0.8558509415384615,6.5897,0.5486,4.4615,0.9692,4.145833333,1.557269615,6.641,0.9028,6.5128,0.5559,2.4872,1.4118
chopsticks,chopsticks,tool,199.9895833,0.8171752145000001,0.7658098249999999,6.1622,1.1906,5.0,1.2247,4.156862745,1.5410716919999998,6.7027,0.5199,6.1622,1.1429,3.4595,1.7094
duster,duster,tool,236.225,0.8010114208333333,0.7738668381538462,6.6486,0.6332,4.3243,0.9734,3.79245283,1.585493014,6.7027,0.6609999999999999,6.5946,0.599,2.027,1.3226
balloon,balloon,toy,235.8023256,0.79614193125,0.9692207584761905,6.3056,0.7863,5.9167,0.8742,3.772727273,1.668638721,6.6667,1.042,5.7778,1.2215,1.4167,0.9063
doll,doll,toy,231.5512821,0.8244231435333333,0.8637458529375,6.6216,0.5452,5.5676,1.0419,3.102040816,2.181789193,6.7838,0.8862,6.3514,0.7894,1.7568,1.2562
kite,kite,toy,257.5,0.8205776416428572,0.9551548397333334,6.027,1.0926,5.9459,1.0787,3.133333333,1.659682335,6.8108,0.3971,6.027,0.8329,1.9189,1.1396
scooter,scooter,toy; vehicle,293.0348837,0.7497670034375,0.7875466853529411,5.3143,1.3671,5.6286,1.0596,4.0,1.570068877,6.7429,0.5054,5.7429,1.01,1.6571,0.7648
